,tx_id,is_fraudulent
0,12251342,f
1,12251343,f
2,12251351,f
3,12251361,f
4,12251389,f
5,12251421,f
6,12251430,f
7,12251450,f
8,12251455,f
9,12251461,f
10,12251470,f
11,12251480,f
12,12251484,f
13,12251485,f
14,12251492,f
15,12251497,f
16,12251505,f
17,12251506,f
18,12251516,f
19,12251543,f
20,12251544,f
21,12251556,f
22,12251576,f
23,12251587,f
24,12251589,f
25,12251592,f
26,12251622,f
27,12251626,f
28,12251630,f
29,12251631,f
30,12251637,f
31,12251643,f
32,12251646,f
33,12251649,f
34,12251653,f
35,12251661,f
36,12251662,f
37,12251732,f
38,12251762,f
39,12251786,f
40,12251802,f
41,12251817,f
42,12251823,f
43,12251826,f
44,12251869,f
45,12251890,f
46,12251918,f
47,12251955,f
48,12251969,f
49,12251980,f
50,12252002,f
51,12252003,f
52,12252095,f
53,12252124,f
54,12252146,f
55,12252165,f
56,12252193,f
57,12252261,f
58,12252270,f
59,12252336,f
60,12252554,f
61,12252810,f
62,12252860,f
63,12252896,f
64,12252901,f
65,12252907,f
66,12252918,f
67,12252928,f
68,12253068,f
69,12253111,f
70,12253127,f
71,12253190,f
72,12253296,f
73,12253453,f
74,12253470,f
75,12253514,f
76,12253532,f
77,12253589,f
78,12253693,f
79,12253740,f
80,12253755,f
81,12253829,f
82,12253865,f
83,12253874,f
84,12253903,f
85,12253924,f
86,12253932,f
87,12254060,f
88,12254113,f
89,12254227,f
90,12254262,f
91,12254263,f
92,12254280,f
93,12254283,f
94,12254295,f
95,12254325,f
96,12254330,f
97,12254348,f
98,12254352,f
99,12254357,f
100,12254401,f
101,12254447,f
102,12254458,f
103,12254466,f
104,12254493,f
105,12254529,f
106,12254544,f
107,12254581,f
108,12254584,f
109,12254597,f
110,12254613,f
111,12254614,f
112,12254618,f
113,12254620,f
114,12254684,f
115,12254702,f
116,12254749,f
117,12254774,f
118,12254775,f
119,12254779,f
120,12254788,f
121,12254918,f
122,12254940,f
123,12254948,f
124,12254966,f
125,12254981,f
126,12254988,f
127,12255015,f
128,12255027,f
129,12255043,f
130,12255048,f
131,12255109,f
132,12255111,f
133,12255146,f
134,12255193,f
135,12255200,f
136,12255234,f
137,12255276,f
138,12255290,f
139,12255328,f
140,12255360,f
141,12255369,f
142,12255379,f
143,12255394,f
144,12255399,f
145,12255410,f
146,12255419,f
147,12255429,f
148,12255457,f
149,12255478,f
150,12255490,f
151,12255491,f
152,12255497,f
153,12255519,f
154,12255575,f
155,12255581,f
156,12255590,f
157,12255632,f
158,12255636,f
159,12255642,f
160,12255644,f
161,12255647,f
162,12255648,f
163,12255666,f
164,12255671,f
165,12255690,f
166,12255706,f
167,12255724,f
168,12255732,f
169,12255745,f
170,12255747,f
171,12255771,f
172,12255776,f
173,12255777,f
174,12255779,f
175,12255781,f
176,12255793,f
177,12255804,f
178,12255811,f
179,12255819,f
180,12255833,f
181,12255840,f
182,12255853,f
183,12255861,f
184,12255900,f
185,12255903,f
186,12255908,f
187,12255918,f
188,12255930,f
189,12255944,f
190,12255953,f
191,12255984,f
192,12255999,f
193,12256020,f
194,12256026,f
195,12256034,f
196,12256043,f
197,12256044,f
198,12256063,f
199,12256067,f
200,12256086,f
201,12256088,f
202,12256089,f
203,12256095,f
204,12256104,f
205,12256108,f
206,12256119,f
207,12256120,f
208,12256132,f
209,12256136,f
210,12256138,f
211,12256142,f
212,12256146,f
213,12256155,f
214,12256156,f
215,12256165,f
216,12256172,f
217,12256180,f
218,12256191,f
219,12256196,f
220,12256199,f
221,12256201,f
222,12256202,f
223,12256221,f
224,12256222,f
225,12256224,f
226,12256226,f
227,12256231,f
228,12256235,f
229,12256268,f
230,12256271,f
231,12256293,f
232,12256310,f
233,12256313,f
234,12256316,f
235,12256322,f
236,12256328,f
237,12256335,f
238,12256338,f
239,12256346,f
240,12256351,f
241,12256368,f
242,12256376,f
243,12256384,f
244,12256388,f
245,12256397,f
246,12256403,f
247,12256406,f
248,12256425,f
249,12256426,f
250,12256427,f
251,12256428,f
252,12256433,f
253,12256438,f
